,abbreviation,adjusted_price,name,original_price,release_date,year
75,AST,2225.7527881040887,Atari ST,1000.0,1985-04-01 00:00:00,1985
76,C128,667.7258364312265,Commodore 128,300.0,1985-01-31 00:00:00,1985
77,HALC,5760.68794098781,RDI Halcyon,2500.0,1984-12-31 00:00:00,1984
78,C16,228.12324246311732,Commodore 16,99.0,1984-09-01 00:00:00,1984
79,CPC,1843.4201411160993,Amstrad CPC,800.0,1984-06-21 00:00:00,1984
80,MAC,5749.166565105835,Mac,2495.0,1984-01-31 00:00:00,1984
81,PV1K,152.80928676150623,Casio PV-1000,63.54,1983-10-31 00:00:00,1983
82,FDS,360.73958158995805,Famicom Disk System,150.0,1983-07-31 00:00:00,1983
83,NES,478.5811782426777,Nintendo Entertainment System,199.0,1983-07-15 00:00:00,1983
84,SG1K,579.5882610878659,Sega SG-1000,241.0,1983-07-15 00:00:00,1983
85,AQUA,384.7888870292886,Aquarius,160.0,1983-06-01 00:00:00,1983
86,VECT,493.70209599447486,Vectrex,199.0,1982-11-30 00:00:00,1982
87,AVIS,173.66405386740323,Adventure Vision,70.0,1982-11-01 00:00:00,1982
88,FM7,1240.4575276243088,FM-7,500.0,1982-11-01 00:00:00,1982
89,PC98,3473.281077348064,NEC PC-9801,1400.0,1982-10-31 00:00:00,1982
90,C64,1476.1444578729274,Commodore 64,595.0,1982-08-31 00:00:00,1982
91,CVIS,496.18301104972346,ColecoVision,200.0,1982-08-31 00:00:00,1982
92,DRAG,1116.4117748618778,Dragon 32/64,450.0,1982-08-15 00:00:00,1982
93,SPEC,617.7478487569057,ZX Spectrum,249.0,1982-04-20 00:00:00,1982
94,5200,669.8470649171267,Atari 5200,270.0,1982-03-31 00:00:00,1982
95,A2K1,496.18301104972346,Arcadia 2001,200.0,1982-03-31 00:00:00,1982
96,BBCM,1050.8457734604103,BBC Micro,399.0,1981-09-30 00:00:00,1981
97,PC,4121.738434750732,PC,1565.0,1981-08-12 00:00:00,1981
98,CASV,355.54932184750726,Epoch Cassette Vision,135.0,1981-07-31 00:00:00,1981
99,TI99,1382.6918071847506,TI-99/4A,525.0,1981-06-30 00:00:00,1981
100,COCO,1159.9058345134529,TRS-80 CoCo,399.0,1980-12-31 00:00:00,1980
101,TRS8,1744.2193000202299,TRS-80,600.0,1980-10-01 00:00:00,1980
102,VC20,872.1096500101149,VIC-20,300.0,1980-05-31 00:00:00,1980
103,A800,3299.5315729047065,Atari 8-bit,1000.0,1979-11-30 00:00:00,1979
104,INTV,986.5599402985073,Intellivision,299.0,1979-01-31 00:00:00,1979
105,ODY2,734.1657938434025,Odyssey 2,200.0,1978-12-02 00:00:00,1978
106,MZ,4478.411342444756,Sharp MZ,1220.0,1978-05-31 00:00:00,1978
107,2600,790.182018146824,Atari 2600,200.0,1977-10-31 00:00:00,1977
108,CBM,1975.4550453670602,Commodore PET/CBM,500.0,1977-07-15 00:00:00,1977
109,APL2,5136.183117954357,Apple II,1300.0,1977-06-30 00:00:00,1977
110,BAST,1181.322117129502,Bally Astrocade,299.0,1977-01-01 00:00:00,1977
111,RCA2,588.685603519384,RCA Studio II,149.0,1977-01-01 00:00:00,1977
112,CHANF,715.1077868852457,Channel F,170.0,1976-07-01 00:00:00,1976
113,ODY,572.830775363763,Odyssey,100.0,1972-08-31 00:00:00,1972
114,ARC,118315.85014409217,Arcade,20000.0,1971-08-31 00:00:00,1971
115,PLATO,97140.17238465435,PLATO,12000.0,1960-01-01 00:00:00,1960
